,,,,,,,GOPHER,NON ANN GRASS,BARE,ROCK,LITTER,COWPIE,MOSS,ACH MIL,ACH MOL,ACM WRA,AEG TRI,AGO HET,ALL SER,AMS INT,ANC FIL,APH OCC,ART CAL,ASTE SP,AST GAM,ATH PUS,AVEN SP,BRO BER,BRO CAR,BRO DIA,BRO HOR,BRO MAD,BRO TRI,BRO TER,BROD SPP,CAL ARG,CAL VEN,CALO SP,CAL CIL,CAL MUL,CAL SUB,CALY SP,CAM GRA,CAR PYC,CAS ATT,CAS DEN,CAS ERI,CAS EXS EXS,CAS PUR,CAS RUB LIT,CAU LAS,CEN SOL,CEN SOL BROAD,CHAE SP,CHL POM,CLAR SP,CLA EXI EXI,CLA GYP,CLA PER,CLAR SP,COL HET,CRA CON,CRO SET,CRY FLA,CUS SUB,DODD SPP,DAU PUS,DEL VAR,DELP SP,DES DAN,DIC CAP,DUD SET,ELY GLA,ELY MUL,EPI MIN,EPIL SP,ERI CON,ERI GLA,ERI NUD,ERI ROS,ERI VIM,ERI RED ANG,ERO BOT,ERO CIC,ERO MOS,EROD SP,ERY CAP,ESC CAL,EUP SPA,FES BRO,FES MIC,FES MYU,FES PER,FIL GAL,FRA CAL,GAL APA,GAL POR,GALI SP,GAS PHL,GIL ACH,GIL CLI,GIL TRI,HEM CON,HEM CON LUZ,HES SPA,HOR BRA,HOR MAR,HOR MUR LEP,KOE MAC,LACT SP,LAM AUR,LAS CAL,LAY GAI,LAY PLA,LES NEM,LEP AMB,LEP AND,LEP BIC,LEP GRA,LEP LIN,LEP NIT,LEP PAR,LEPT SP,LES MIC GLA,LEW RED,LIN DIC,LOM CAR,LOM DAS,LOM MAC,LOM UTR,LOMA SP,LUP BIC,LUPI SP,MADI SP,MEL CAL,MEL TOR,MELI SP,MIC CAL,MIC DOU,MIM DOU,MIN DOU,MIN PUS,MON MAJ,MUI MAR,NAV HET,PEL AND,PEN BEL,PEN TRI,PER KEL,PHA CAL,PHA DIS,PHA IMB,PHL GRA,PLA CAL,PLA ERE,POA SEC SEC,POA SP,POLY SP,PRI HEN,PSI BRE,PTE DRY,QUE DUR,RAN CAL,RIG LEP,SAL COL,SAN BIP,SAN TUB,SENE SP,SHE ARV,SID DIP,SIL CAL,SIL GAL,SIS BEL,STE MED,STE NIT,STI PUL,STR ALB,STYL SP,TALL EVAX,TET GRA,TOX FRE,TRI ALB,TRI DEP,TRI ERI,TRI PUS,TRI GRA,TRI HIR,TRI INFLATED,TRI MIC,TRI WIL,TRIF SP,TRI LAN,TRI LAX,URO LIN,UNK ANN GRASS,UNK BUN,UNKNOW,,,,
10,1991,KCFlat,KCFlat-10,KCFlat-10,KCFlat,10,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,,0,0,,0,0,5,0,0,0,0,5,0,,0,0,0,,0,0,0,,0,2,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
12,1991,KCN12,KCN12-1,KCN12-1,KCN12,1,,,20,0,,0,0,0,0,0,0,0,5,0,,0,0,0,0,0,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,20,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,2,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
20,1991,KCN12,KCN12-2,KCN12-2,KCN12,2,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,0,0,,0,0,0,0,0,2,0,10,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
13,1991,KCN12,KCN12-3,KCN12-3,KCN12,3,,,40,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,10,0,0,0,0,0,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,10,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,10,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
11,1991,KCN12,KCN12-4,KCN12-4,KCN12,4,,,40,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,20,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
14,1991,KCN12,KCN12-5,KCN12-5,KCN12,5,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,10,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
15,1991,KCN12,KCN12-6,KCN12-6,KCN12,6,,,35,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,20,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
16,1991,KCN12,KCN12-7,KCN12-7,KCN12,7,,,40,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,,0,0,0,0,0,0,0,0,0,10,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,2,0,0,0,,0,0,0,,0,0,0,,0,2,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,5,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
18,1991,KCN12,KCN12-8,KCN12-8,KCN12,8,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,10,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,20,0,0,0,,0,0,0,,0,0,0,,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,,0,2,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
19,1991,KCN12,KCN12-9,KCN12-9,KCN12,9,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,,,0,0,0,0,0,0,0,0,0,2,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,10,0,0,0,,0,0,0,,0,0,0,,0,5,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,0,,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,25,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
17,1991,KCN12,KCN12-10,KCN12-10,KCN12,10,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,,0,0,0,0,0,0,0,0,0,,0,0,2,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
22,1991,KCN22,KCN22-1,KCN22-1,KCN22,1,,,50,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,2,0,0,0,0,0,0,0,,10,0,0,0,0,,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
23,1991,KCN22,KCN22-2,KCN22-2,KCN22,2,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,10,0,0,0,0,,0,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,20,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
28,1991,KCN22,KCN22-3,KCN22-3,KCN22,3,,,20,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,2,0,0,0,0,,0,,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,30,0,,0,,,0,0,0,0,0,,0,0,0,0,,0,0,,0,0,,,,
